wgs_id,date,assembly_length,assembly_coverage,contigs,reference_coverage,reference_percentage_mapped,percent_missing
Eth01-2021,2021,2128333.0,130.5907803472698,101.0,225.0,83.72107871891346,7.801659927644179
Eth03-2021,2021,2110293.0,153.03275393133185,99.0,273.0,87.88732178960011,8.191798926983344
Eth05-2021,2021,2126015.0,139.858242362188,98.0,247.0,86.541456156535,7.901165981563826
Eth06-2021,2021,2163301.0,153.8421625332392,85.0,279.0,86.36735837646688,6.067449961357959
Eth07-2021,2021,2129500.0,125.0891820896671,97.0,217.0,85.2316687968292,7.482891096649904
Eth08-2021,2021,2156168.0,182.25618434100724,92.0,329.0,82.52294798989477,5.981071000548829
Eth09-2021,2021,2115062.0,180.98504610462533,95.0,317.0,83.25211201570046,8.196861594292178
Eth10-2021,2021,2112672.0,162.64745368392303,89.0,293.0,87.94452779533309,8.31531904884578
Eth11-2021,2021,2114850.0,151.30793281185427,87.0,261.0,85.38362405254833,8.294037925202451
Eth12-2021,2021,2131302.0,177.59759424611764,99.0,326.0,87.67887066434362,7.508249235559637
Eth13-2021,2021,2161722.0,149.61313433635962,88.0,265.0,82.93705198904769,6.032011290196122
Eth14-2022,2022,2130712.0,127.0127945758747,88.0,241.0,93.4662159720812,6.096302684781756
Eth16-2022,2022,2126898.0,146.54865971301064,94.0,254.0,85.38614872867319,7.694223855019546
Eth17-2022,2022,2170560.0,160.12096498571898,99.0,286.0,85.78674361029033,5.63604798333352
Eth18-2022,2022,2118316.0,158.69340453046237,92.0,290.0,90.70452042707048,8.220965266966097
Eth19-2022,2022,2127655.0,143.59615907283413,95.0,257.0,88.76528150682131,7.960932337227406
Eth21-2022,2022,2123797.0,171.3158267039524,103.0,328.0,92.41337358798826,7.446690785273462
Eth22-2022,2022,2127051.0,117.5090223644986,94.0,215.0,91.1048783539702,7.6991969175972494
Eth24-2022,2022,2111561.0,157.957227950082,91.0,276.0,86.18216091550697,8.388346904716569
Eth25-2022,2022,2131518.0,144.47211758907738,102.0,235.0,80.51487668910183,7.449558136669617
Eth29-2022,2022,2130414.0,156.1195584178188,98.0,271.0,84.12429858850038,7.716669840167562
Eth30-2022,2022,2127424.0,153.287431342574,90.0,270.0,85.897799187683,7.476797974933076
Eth32-2022,2022,2130023.0,167.42422031657873,108.0,304.0,86.16470925997407,7.425051242705615
Eth33-2022,2022,2112982.0,154.14614315608048,97.0,271.0,84.48051302476898,8.184406536665136
Eth34-2022,2022,2131115.0,150.18321301951704,92.0,266.0,86.6344131409361,7.595613848411197
Eth35-2022,2022,2126871.0,162.26201609809186,98.0,285.0,85.50063390169963,7.49319564072983
Eth36-2022,2022,2132979.0,160.8932849273181,92.0,276.0,84.95136377992446,7.736741299940637
Eth38-2022,2022,2127512.0,134.9490930737298,98.0,236.0,86.2365380821479,7.568463614878866
Eth42-2022,2022,2119518.0,145.85029016846482,90.0,264.0,89.12419714145341,7.955556053359618
Eth43-2022,2022,2111722.0,155.96459305983458,101.0,285.0,88.25302055363822,8.18893157558719
Eth44-2022,2022,2110795.0,159.47853270115206,104.0,291.0,89.97562393343304,8.224370246749029
Eth45-2022,2022,2185946.0,141.48322203523733,97.0,253.0,85.61129954921115,5.458809825158768
Eth46-2022,2022,2128829.0,146.3699529033483,94.0,256.0,84.27945159102688,7.401530000784041
